,,,,,
,,,,,
Memberships,,,Members,,
,,,,,
Active,,,Active,,
,Total - 261   ,,,Total - 93   ,
,      Adult All Access Pass - 3,,,      Adult All Access Pass - 2,
,      Adult Martial Arts (VMA) - 9,,,      Adult Martial Arts (VMA) - 3,
,      Adult MMA - 115,,,      Adult MMA - 22,
,      Class Trials - 2,,,      Class Trials - 2,
,      Combo Memberships - 2,,,      Combo Memberships - 1,
,      Competition Team - 1,,,      Competition Team - 1,
,      Groupon - 4,,,      Groupon - 3,
,      Kickboxing - 25,,,      Kickboxing - 8,
,      Kid Pass - 2,,,      Kid Pass - 2,
,      Kids Martial Arts - 88,,,      Kids Martial Arts - 42,
,      Leadership Team - 6,,,      Leadership Team - 6,
,      Locker Membership - 0,,,      Locker Membership - 0,
,      MMA Drop IN - 4,,,      MMA Drop IN - 4,
,,,,,
,,,,Expiring in next 30 days -16,
,,,,     Expiring in next 90 days -16,
,,,,,
Declined,,,Declined,,
,Total - 11   ,,,Total - 12   ,
,      Adult All Access Pass - 1   ,,,      Adult All Access Pass - 1   ,
,      Adult MMA - 8   ,,,      Adult MMA - 8   ,
,      Kickboxing - 1   ,,,      Kickboxing - 1   ,
,      Kids Martial Arts - 2   ,,,      Kids Martial Arts - 2   ,
,,,,,
New Contracts (Yesterday),,,New Contracts (Yesterday),,
,Total - 0   ,,,Total - 0   ,
,,,,,
New Contracts (Month to Date),,,New Contracts (Month to Date),,
,Total - 1   ,,,Total - 1   ,
,      Kids Martial Arts - 1   ,,,      Kids Martial Arts - 1   ,
,,,,,
Expired,,,Expired,,
,Total - 457   ,,,Total - 333   ,
,      Adult All Access Pass - 3,,,      Adult All Access Pass - 3,
,      Adult Martial Arts (VMA) - 2,,,      Adult Martial Arts (VMA) - 2,
,      Adult MMA - 23,,,      Adult MMA - 21,
,      Class Trials - 22,,,      Class Trials - 22,
,      Combo Memberships - 55,,,      Combo Memberships - 52,
,      Competition Team - 5,,,      Competition Team - 4,
,      Groupon - 59,,,      Groupon - 59,
,      Kickboxing - 44,,,      Kickboxing - 37,
,      Kid Pass - 7,,,      Kid Pass - 7,
,      Kids Martial Arts - 73,,,      Kids Martial Arts - 43,
,      Leadership Team - 3,,,      Leadership Team - 3,
,      Locker Membership - 25,,,      Locker Membership - 21,
,      MMA Drop IN - 132,,,      MMA Drop IN - 110,
,      Staff Pass - 2,,,      Staff Pass - 2,
,      Yoga/Pilates Membership - 2,,,      Yoga/Pilates Membership - 2,
,,,,,
,,,,Expired in last 30 days -2,
,,,,     Expired in last 90 days -8 ,
,,,,,
,,,,,
Suspended,,,Suspended,,
,Total - 3   ,,,Total - 3   ,
,      Adult All Access Pass - 1,,,      Adult All Access Pass - 1,
,      Adult MMA - 1,,,      Adult MMA - 1,
,      Combo Memberships - 0,,,      Combo Memberships - 0,
,      Groupon - 0,,,      Groupon - 0,
,      Kids Martial Arts - 1,,,      Kids Martial Arts - 1,
,,,,,
Terminated,,,,Suspension lifted in 30 days -0,
,Total - 38   ,,,     Suspension lifted in 90 days -0 ,
,      Adult All Access Pass - 0,,,,
,      Adult Martial Arts (VMA) - 1,,,,
,      Adult MMA - 16,,Terminated,,
,      Class Trials - 0,,,Total - 35   ,
,      Combo Memberships - 1,,,      Adult All Access Pass - 0,
,      Competition Team - 1,,,      Adult Martial Arts (VMA) - 1,
,      Kickboxing - 11,,,      Adult MMA - 16,
,      Kids Martial Arts - 6,,,      Class Trials - 0,
,      Leadership Team - 1,,,      Combo Memberships - 1,
,      Locker Membership - 1,,,      Competition Team - 1,
,      MMA Drop IN - 0,,,      Kickboxing - 11,
,,,,      Kids Martial Arts - 6,
,,,,      Leadership Team - 1,
,,,,      Locker Membership - 1,
,,,,      MMA Drop IN - 0,
,,,,,
,,,,Terminated in last 30 days -0,
,,,,     Terminated in last 90 days -1 ,
,,,,,
